Wavenumber,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002594751,0,0
908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002378287,0,0
912,0,0,0.005303326,0.006074195,0,0,0,0.005459433,0,0,0,0,0,0,0.004465307,0,0.002692445,0,0,0,0,0,0,0,0,0,0,0.000629981,0,0
916,0,0,0.004950925,0.005338013,0,0,0,0.00604469,0,0,0.007087827,0,0,0,0.004394632,0,0.002237615,0,0,0,0,0,0,0,0,0,0,0.005685002,0,0
920,0,0,0.000654291,3.55E-05,0.00806975,0,0.006098711,0.000161304,0.00637226,0.007343657,0.008118939,0,0,0,0.001034976,0.003426784,0.000479609,0.004811951,0.006435934,0,0.005917633,0,0,0,0.004156747,0,0,0.011748371,0.002654324,0
924,0,0.005919847,0.004610127,0.008725157,0.009272439,0,0.006798781,0.009211527,0.006721509,0.007658262,0.000877525,0,0.005521616,0,0.003023573,0.004187314,0.005112202,0.004692114,0.006680488,0,0.006608958,0,0.004823812,0.004944155,0.00436189,0.004684242,0.005882568,0.017050818,0.002806704,0.003171226
928,0.006477316,0.006448764,0.019213231,0.020182286,0.0012425,0,0.000871902,0.020521807,0.000340653,0.00279516,0.008810356,0,0.006318095,0,0.015749719,0.001177003,0.008423064,0.001122859,0.005088898,0.004395984,0.000641665,0,0.004994082,0.00571579,0.000952861,0.005426456,0.006791114,0.026380029,0.00046548,0.004020979
932,0.007232661,0.000190796,0.045626848,0.044260956,0.013966126,0.004195446,0.00651253,0.042868384,0.010244639,0.00687683,0.030787423,0.005458108,0.000682987,0,0.039699133,0.002161652,0.01756586,0.003614752,0.006996015,0.004521215,0.009834328,0.00488046,0.001104932,0.001267632,0.002351406,0.005413649,0.000619036,0.038742327,0.002079966,0.002574134
936,0.006557028,0.009883815,0.080562792,0.08086388,0.035598324,0.004688625,0.025178501,0.076199264,0.028234381,0.03137701,0.065309319,0.0056892,0.008786785,0.006053601,0.072026322,0.014099427,0.029671104,0.017728848,0.031634277,0.001712869,0.023334118,0.005444386,0.003775621,0.004355881,0.014501779,0.004697295,0.006320469,0.054111956,0.009509653,0.003883626
