wavenumber,c1,c2,c3,c4,c5,c6
1572,0.320201988,0.252867077,0.346859124,0.288532203,0.564496559,0.267806378
1576,0.365793899,0.296807747,0.385447964,0.32806112,0.605268356,0.305635795
1580,0.403971855,0.3387729,0.422775331,0.364272685,0.642678389,0.34426649
1584,0.434357274,0.379882798,0.458977542,0.398460029,0.676973175,0.378634522
1588,0.463472728,0.413242152,0.487550697,0.426282345,0.701422143,0.406738436
1592,0.484319869,0.441051531,0.504952662,0.445388744,0.712443612,0.426408237
1596,0.49696941,0.461338221,0.51350337,0.455905469,0.713087894,0.437634975
1600,0.501961505,0.474569438,0.51506225,0.458474307,0.706452587,0.441124388
1604,0.499668959,0.479987661,0.509197351,0.453602779,0.692590825,0.437273752
1608,0.492060664,0.478759052,0.497707162,0.443293821,0.67441323,0.427945324
1612,0.47994941,0.471294664,0.481761835,0.428408191,0.652365096,0.414038203
1616,0.466397209,0.459866469,0.464546184,0.412119154,0.629631086,0.398702321
1620,0.450774927,0.444507988,0.445924124,0.394171568,0.605373742,0.381645195
1624,0.434825295,0.427706935,0.428624247,0.376661505,0.58148917,0.364974587
1628,0.417499054,0.408441757,0.410904464,0.358371847,0.556179092,0.347456828
1632,0.399500293,0.387475966,0.392266488,0.339827764,0.528998808,0.329604497
1636,0.38023112,0.365250781,0.372581495,0.320386517,0.500660113,0.305672423
1640,0.360038424,0.343765598,0.353045654,0.300454536,0.472904511,0.287428478
1644,0.338440905,0.322038575,0.334393551,0.279157543,0.444399449,0.272718486
1648,0.317960004,0.302473634,0.310860216,0.253492086,0.417384694,0.262520454
1652,0.293300741,0.27906971,0.283311111,0.229648369,0.385337891,0.250029732
1656,0.26537374,0.250889342,0.251095006,0.20555748,0.349088318,0.233256511
1660,0.23327581,0.221677131,0.218623008,0.183863172,0.307405124,0.214922278
1664,0.201149136,0.190548035,0.185612246,0.162670513,0.265221459,0.193197344
1668,0.169141737,0.159633934,0.157566158,0.147725644,0.221854101,0.17396624
1672,0.143054045,0.129250945,0.125302778,0.126928443,0.18044524,0.144247561
1676,0.114135297,0.106030964,0.093645696,0.103043748,0.149017162,0.106608446
1680,0.086063717,0.083587046,0.066499971,0.078384039,0.118159744,0.076136297
1684,0.061495501,0.063731851,0.045186662,0.053768135,0.09040391,0.050267294
1688,0.04264996,0.048296762,0.025691458,0.029718517,0.068282484,0.031126991
