"Row.names","wavenumber","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","Variable"
"108",1372,0.208469993,0.199308942,0.12326838,0.143481403,0.217936909,0.137464942,0.122837312,0.179668278,0.271094119,0.159723779,0.131088801,0.133222708,0.22134734,0.18588699,0.150530256,0.167173101,0.136529616,0.137060536,0.159319993,0.153147583,0.23493179,0.182565005,0.144386435,0.135226483,0.154871284,0.151464271,0.150634981,0.150112853,0.158820984,0.157346865,0.0803879503263934,-0.0283631880299313,-0.107242243690024,-0.0436907277552306,-0.124838862831974,0.183150239269911,-0.158409308052266,0.00440378520895078,0.0792100773737555,0.0898237919985467,-0.116373421397557,0.0554852934150371,0.0907291407834894,0.11723246629223,-0.168450103428641,-0.0178694931773728,-0.0385312410266131,-0.147839065943811,-0.00280529264837998,0.0744458659003375,-0.0023889894863267,0.0754098172198043,-0.0436553613268729,0.0243584917756835,0.00779522741626385,-0.012157239099552,0.0171820631224841,-0.00151951665615997,-0.0896619172075694,-0.0669656799823168,"1372"
"109",1376,0.205825458,0.18917224,0.112823581,0.142487042,0.216913334,0.127993446,0.127882058,0.182266861,0.274881724,0.162281363,0.136297353,0.138552256,0.216182173,0.182829844,0.148964015,0.156933356,0.124944633,0.126094351,0.157722194,0.151164483,0.231613457,0.177510754,0.150227069,0.140693947,0.15412108,0.149771775,0.149497035,0.139530114,0.15850261,0.152834597,0.0832868152954254,-0.0193912901669454,-0.116292299932248,-0.0163215401363617,-0.092286063775032,0.162875439125036,-0.142295405426674,0.00391627275042952,0.123792869581911,0.0959158191319162,-0.0918877549138628,0.0840415961872135,0.114417792294401,0.149209213214274,-0.138322799544769,-0.0463040353850477,0.00831978049756158,-0.13090390983284,-0.087276682476889,0.115984306759421,-0.0709822112344991,0.0396926731220813,0.0169907078191769,0.0221986567216271,0.0264352913982836,-0.0376336882137229,0.00940576594193372,0.0427769013237549,0.00849286803865121,0.0102315998845407,"1376"
"11",648,0.471113082,0.384199996,0.317245687,0.289885024,0.586776261,0.415952072,0.371414102,0.447103665,0.601610298,0.477378102,0.440409708,0.452943073,0.359486122,0.336529596,0.343141935,0.407175498,0.275635827,0.363698042,0.334290995,0.662412455,0.472252274,0.399765663,0.493805752,0.371676296,0.306861179,0.295450466,0.334476384,0.367729727,0.339052881,0.299558717,0.0889838072820258,0.067780860501314,0.0105549907956355,-0.0622127339941167,0.0847112835720084,-0.0364695331857125,-0.086082221256678,-0.0351672412125081,-0.0384303945419731,-0.068014059431639,0.0100844627485764,0.0434545242635685,0.00297071851085634,0.00341331617810645,0.000152571225788943,-0.0198444325618734,0.0187322329251046,0.0277500387467247,-0.0426299230880204,0.0935720902520887,0.0547944491358194,0.0190861949032584,-0.0448239850141954,0.0988939047109774,0.0431320867959239,0.122668481802744,-1.50858565643205e-05,0.0872873677393252,0.00923386793464063,0.075254243500838,"648"
"110",1380,0.197169027,0.175383598,0.098923202,0.139411708,0.219494792,0.111541218,0.128648238,0.178713212,0.275914418,0.158272148,0.141000056,0.143387183,0.205778796,0.17447443,0.145561979,0.146083293,0.10992377,0.111148059,0.156891459,0.151032349,0.21918109,0.169653358,0.155782709,0.14153624,0.154271097,0.146073762,0.146459898,0.128754618,0.159233485,0.145605896,0.0862329654972292,-0.0106291633920826,-0.12158283441859,0.0189693048577293,-0.0501647766780973,0.12657236453589,-0.127605552196089,-0.0247681177689191,0.136530681788005,0.109994836736534,-0.031912062422228,0.100390732465808,0.0831829192601868,0.130011112947094,-0.0792515457642804,-0.0646480372838394,0.0405163816041538,-0.113467496795731,-0.150788487680458,0.138079465627776,-0.0929973054124259,-0.0231008838620344,0.0667390675346263,0.0104312793951681,0.0314339692102438,-0.0709204546317894,0.0315727779484132,0.114357512747753,0.0972803480017343,-0.0791231045226307,"1380"
"111",1384,0.185073387,0.160481475,0.08366892,0.135613077,0.218097602,0.094864104,0.12730512,0.170310328,0.275050371,0.153687192,0.141568968,0.143669434,0.194173738,0.162217949,0.141756902,0.136984414,0.093803042,0.0943285,0.160550828,0.148847035,0.208558788,0.157231812,0.156813377,0.140141372,0.15905229,0.141777815,0.142732333,0.120171714,0.164622277,0.137340375,0.0865204435242404,-0.00704010642207163,-0.122439296509023,0.0561987649514989,-0.0235118300381424,0.0783772075095494,-0.115587490422379,-0.0542627087527487,0.142091908483962,0.0985528652510094,0.0373664447469128,0.147634484909887,0.0682422699382572,0.0681421390668421,0.0139045583631388,-0.0551238562846503,0.051263319016975,-0.0614076134374728,-0.174675197148705,0.135990574287877,-0.108877191209746,-0.0478816850293079,0.0982179149752214,-0.0213709000717166,0.00498001778137122,-0.0986016697429168,-0.0168280827721846,0.129660727876671,0.0561203864355015,0.0548964830259906,"1384"
"112",1388,0.172005386,0.147063043,0.070209378,0.132372092,0.21900408,0.079813616,0.124840514,0.158297168,0.27284539,0.146684503,0.140797553,0.142592407,0.180806305,0.147586598,0.138822851,0.132508763,0.079621764,0.079371994,0.160713718,0.143655727,0.200361007,0.150215621,0.1563829,0.137589365,0.159593053,0.138060414,0.139556667,0.115849008,0.165574696,0.129191497,0.0858632931351149,-0.00485876525720944,-0.123387461541737,0.079094959124147,-0.00415087081628632,0.0366562791216585,-0.0870662718428644,-0.0747381281061928,0.130011067176907,0.0864691051758085,0.0823479986313344,0.175119038791554,0.0171785159892124,0.0245608034981349,0.0918020764441109,-0.0238049210410268,0.0440374738799017,-0.0421235550816235,-0.115551381748874,0.0994217217526848,-0.0949619510911219,-0.0776278796907253,0.0799046019683292,-0.0540842908428495,-0.0426414051476868,-0.0322663727906713,-0.0436581503503508,0.0841293563562901,0.0438034745555305,-0.0203842594469715,"1388"
"113",1392,0.161209054,0.138458983,0.061877516,0.131666176,0.225537129,0.070551324,0.12282123,0.144737563,0.279629129,0.147997206,0.14031221,0.141936519,0.169111295,0.141996313,0.138737783,0.136159149,0.070789698,0.07025644,0.16159084,0.14283197,0.206281038,0.15941937,0.155965139,0.135640922,0.160396785,0.136777531,0.138998118,0.118508919,0.166555524,0.131375154,0.087605520913685,-0.00722710278975992,-0.120555478808461,0.0855188042134074,0.00535397038418002,0.0155774767803316,-0.0282413244535221,-0.0737481290396566,0.115684517693026,0.0480032300336803,0.09299707416374,0.149403492919252,-0.0287259603363755,-0.0214048315405093,0.131885258224232,0.00816180274212281,-0.00548280882154879,-0.030064071124567,-0.0255778436728486,-0.012534517377952,-0.0640215013483974,-0.0953746432606366,0.0359365657774226,-0.078266567467698,-0.0389896758542637,0.111456211063182,-0.00920624427555524,0.00326512985905956,0.0258485039561584,0.0174540395914717,"1392"
"114",1396,0.152958587,0.134806982,0.056884289,0.133283884,0.234380596,0.066434514,0.121228688,0.138551742,0.289971631,0.15586746,0.139994425,0.14181067,0.159397531,0.142000266,0.140491772,0.137719077,0.065457561,0.06629988,0.161914594,0.144648676,0.220667595,0.170586759,0.155705767,0.134460224,0.157984861,0.137390825,0.139954333,0.119301812,0.166450261,0.132346972,0.0896501843990798,-0.00875542204986497,-0.116621176742723,0.0803946091788402,0.00910545500666624,8.66284365422697e-05,0.0251978340535308,-0.0650643518354307,0.116009811800239,0.0123385672800153,0.0691319614009729,0.116623701483303,-0.0393879079323292,-0.0225094980017064,0.139741544160325,0.0297525813812119,-0.0571900316119592,-0.0192997377658,0.00580742529566892,-0.0277658818569932,-0.0311504980697896,-0.0881847827813755,0.0272759092102985,-0.0958157968478435,-0.0538295252225014,0.146535581660542,0.00416851085037154,-0.0265163317939676,-0.0535054548428174,0.0301143424886975,"1396"
"115",1400,0.148894691,0.137666183,0.060740719,0.135105284,0.243760406,0.068243817,0.121217416,0.140051649,0.303542644,0.169906081,0.140954916,0.143628852,0.151098021,0.149132488,0.144531211,0.141910672,0.069298543,0.067951903,0.159876025,0.149450955,0.24339408,0.186138478,0.157115711,0.135524151,0.157407369,0.140752454,0.142541395,0.122459733,0.163354532,0.135827515,0.0918044480825207,-0.00954278730255312,-0.112172850619671,0.0648693833113716,0.00357654802882115,0.000690972718110514,0.079064312489021,-0.052116035114985,0.123817012425204,-0.0240634312280861,0.0314266775927925,0.0707396474876505,-0.0346990069781103,0.0131755805862393,0.127038713968494,0.0460643914837343,-0.0988192666282596,0.0388563986289634,0.0214550403980642,-0.0210427562910833,0.00266003725723435,-0.0754068423571705,0.0149230011346782,-0.107091655439192,-0.00819423792429183,0.0909385665392103,-0.0218446477807582,0.0604796027640321,-0.166266510883621,0.0172329960696774,"1400"
"116",1404,0.148406511,0.146258164,0.067849075,0.13872959,0.252303073,0.074056632,0.12099264,0.145545216,0.318284461,0.186331623,0.14151391,0.14535198,0.148442578,0.152866816,0.149071056,0.146717576,0.076462756,0.072993891,0.15801035,0.154679093,0.261884592,0.20332845,0.158093805,0.136679916,0.155923455,0.144792599,0.145012094,0.126228617,0.16001016,0.139651797,0.0932080699012038,-0.0100739032211866,-0.108499793858143,0.0443892861738994,-0.00651739162449604,0.0054220439136375,0.119798036434401,-0.0424846330056489,0.127231469661427,-0.0504020585348319,0.00990083277278318,0.0391732303176893,-0.0286288740797792,0.04399653950129,0.0911459381606855,0.0463902266919092,-0.093269294375059,0.0563592724567381,0.012522140251871,0.00353766394081725,0.0400524982631302,-0.0464470975676304,-0.0032804573632241,-0.0791985927168394,-0.0152051881435401,0.0350752953332448,-0.0948050755784782,0.0393589180095783,-0.184234031682735,-0.0530087464920975,"1404"
