wavenumber,c1,c2,c3,c4,c5,c6
1612,0.496416152,0.414038203,0.458819741,0.4160552,0.473820485,0.456741818
1616,0.47936681,0.398702321,0.441193134,0.401614594,0.452030454,0.43908839
1620,0.460590923,0.381645195,0.421655963,0.385714923,0.428743399,0.420034263
1624,0.442960062,0.364974587,0.402750055,0.370399218,0.406639684,0.401589512
1628,0.424733097,0.347456828,0.383225451,0.354469684,0.384186638,0.382591833
1632,0.405697456,0.329604497,0.363124783,0.33820018,0.361262358,0.363424527
1636,0.385791216,0.305672423,0.342274704,0.321249698,0.337931026,0.343743032
1640,0.366229205,0.287428478,0.322420066,0.304169277,0.315456758,0.324009116
1644,0.34542674,0.272718486,0.304394281,0.288402927,0.292252642,0.305727386
1648,0.324718042,0.262520454,0.282371361,0.268427133,0.264010788,0.283189933
1652,0.299274203,0.250029732,0.256924306,0.244932217,0.23836883,0.257242154
1656,0.26840643,0.233256511,0.227104803,0.217150471,0.213149599,0.22699344
1660,0.236540304,0.214922278,0.196400308,0.188423983,0.190703351,0.196812275
1664,0.20331762,0.193197344,0.166050431,0.160461862,0.168831262,0.166231285
1668,0.175033554,0.17396624,0.140310504,0.133399253,0.152591276,0.140952805
1672,0.141059023,0.144247561,0.111068776,0.111948765,0.130036326,0.11255961
1676,0.106338335,0.106608446,0.082482813,0.089407594,0.104713436,0.084699294
1680,0.07500016,0.076136297,0.058498029,0.068976392,0.079281361,0.060522821
1684,0.048749799,0.050267294,0.040208918,0.052425731,0.053906273,0.041875702
1688,0.029330791,0.031126991,0.023255684,0.035515436,0.028775342,0.024307391
1692,0.012255547,0.013589242,0.009958792,0.020756659,0.01180598,0.010338089
1696,0.000422543,0.000140031,0.000272019,0.007837436,0.000524995,0.000455337
1700,0.005681201,0.005833023,0.004825388,0.000213931,0.005620312,0.004721777
1704,0.00608888,0.006485745,0.004755683,0.004011005,0.006029543,0.005002064
1708,0,0,0,0.004106778,0,0
1712,0,0,0,0,0,0
1716,0,0,0,0,0,0
1720,0,0,0,0,0,0
1724,0,0,0,0,0,0
1728,0,0,0,0,0,0
1732,0,0,0,0,0,0
1736,0,0,0,0,0,0
1740,0,0,0,0,0,0
1744,0,0,0,0,0,0
1748,0,0,0,0,0,0
1752,0,0,0,0,0,0
1756,0,0,0,0,0,0
1760,0,0,0,0,0,0
1764,0,0,0,0,0,0
1768,0,0,0,0,0,0
1772,0,0,0,0,0,0
1776,0,0,0,0,0,0
1780,0,0,0,0,0,0
1784,0,0,0,0,0,0
1788,0,0,0,0,0,0
1792,0,0,0,0,0,0
1796,0,0,0,0,0,0
1800,0,0,0,0,0,0
