wavenumber,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
648,0.471113082,0.384199996,0.317245687,0.289885024,0.586776261,0.415952072,0.371414102,0.447103665,0.601610298,0.477378102,0.440409708,0.452943073,0.359486122,0.336529596,0.343141935,0.407175498,0.275635827,0.363698042,0.334290995,0.662412455,0.472252274,0.399765663,0.493805752,0.371676296,0.306861179,0.295450466,0.334476384,0.367729727,0.339052881,0.299558717
652,0.455619318,0.374147735,0.309310827,0.278147495,0.556426218,0.393953303,0.360349117,0.431897524,0.579333902,0.459718276,0.426426084,0.439437252,0.344934286,0.321583163,0.329741256,0.394390674,0.264777053,0.348398453,0.320997614,0.641020652,0.452517803,0.374394254,0.478722309,0.359441791,0.292977567,0.284776665,0.320814856,0.354951002,0.324368279,0.286571097
656,0.441626057,0.365262811,0.298960848,0.264380404,0.529121086,0.372170965,0.354549948,0.417953661,0.560305517,0.444754481,0.41279947,0.426128165,0.330912728,0.308450054,0.31805118,0.382853161,0.252262843,0.333112257,0.308332782,0.620085552,0.435361341,0.354257728,0.464480806,0.347778083,0.282015138,0.271621275,0.308549276,0.343286927,0.310529526,0.271603646
660,0.428254133,0.358760031,0.286012127,0.255114162,0.504826707,0.349712655,0.345964389,0.404749868,0.543201809,0.43122063,0.399379932,0.41285763,0.317278427,0.293019989,0.307143294,0.372014499,0.238288902,0.317205352,0.296476633,0.599616025,0.419138492,0.339273967,0.450491647,0.337655149,0.269987787,0.263132574,0.296920411,0.332357908,0.299397777,0.260925542
664,0.414945276,0.349213573,0.271508591,0.249040412,0.482217206,0.330299747,0.336148757,0.392196621,0.526819081,0.417959018,0.386096636,0.39974393,0.305318215,0.282023731,0.296603071,0.361513128,0.222960655,0.303881588,0.287158317,0.579527615,0.402201538,0.329397986,0.436312587,0.32604518,0.257494363,0.258051879,0.28203912,0.320127689,0.286929186,0.253506742
668,0.402070261,0.33671814,0.256253187,0.245237115,0.460527122,0.315679379,0.327311153,0.37990591,0.51080067,0.404486714,0.37300978,0.386778191,0.290825783,0.27457978,0.288196001,0.352142259,0.207543495,0.289722913,0.276041029,0.559851074,0.385029807,0.311050504,0.422509178,0.31344896,0.243895786,0.255530165,0.27114738,0.313124827,0.273222047,0.248378835
672,0.390485296,0.321736545,0.24119133,0.242712361,0.439351542,0.301215428,0.318699861,0.367935346,0.494813534,0.390243488,0.361396937,0.373703909,0.274228101,0.269444745,0.278347653,0.340731476,0.192983955,0.276800311,0.26304549,0.54019802,0.367522788,0.296884687,0.409096284,0.300508019,0.228876976,0.254685058,0.263338757,0.305135357,0.258433062,0.244531398
676,0.380546328,0.307200677,0.226766889,0.240581078,0.419156899,0.289204363,0.309706385,0.357380876,0.478934252,0.376773021,0.348663921,0.362182629,0.2563833,0.265534696,0.266732528,0.32803971,0.179470523,0.265139544,0.248490552,0.521403878,0.346155172,0.286454759,0.395855263,0.287441315,0.213524191,0.259356386,0.257526844,0.295919924,0.242742803,0.241093591
680,0.368751737,0.292341352,0.213389072,0.237880099,0.399502739,0.27917496,0.299468109,0.344917321,0.463783273,0.362122794,0.335197391,0.349836685,0.23770943,0.261892527,0.253370742,0.31446178,0.167248229,0.254618932,0.232778609,0.50426781,0.331208878,0.278777737,0.384221661,0.274356497,0.198211906,0.256809181,0.252527471,0.285187426,0.226371229,0.237078143
684,0.355262453,0.277414516,0.20160842,0.233749996,0.383168068,0.270093149,0.291131038,0.331496858,0.447623795,0.346903482,0.321551554,0.337039538,0.218926012,0.257772601,0.238753709,0.299829144,0.156671762,0.245481106,0.216814823,0.484641334,0.321077485,0.273182255,0.371556037,0.261573807,0.183394932,0.247571893,0.248023586,0.273324524,0.209997302,0.231738719
