wavenumber,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
957,0.03073,0.04714,0.04365,0.09231,0.02119,0.0345,0.05548,0.03047,0.07933,0.05922,0.02969,0.02699,0.0461,0.05236,0.05283,0.03358,0.07787,0.01528,0.05579,0.03464,0.04729,0.06324,0.01813,0.07629,0.05779,0.07246,0.04138,0.08166,0.04546,0.08059
964,0.04018,0.05896,0.05881,0.11326,0.02428,0.04488,0.07065,0.04103,0.09383,0.07453,0.03905,0.03629,0.0543,0.06142,0.06591,0.04266,0.10259,0.02011,0.06674,0.04399,0.05561,0.07573,0.02422,0.09539,0.06878,0.09106,0.0502,0.10409,0.05358,0.09724
972,0.05043,0.07092,0.07585,0.13383,0.02752,0.05673,0.08705,0.0534,0.11017,0.09117,0.04923,0.04701,0.06224,0.06994,0.07888,0.05191,0.12991,0.0255,0.07712,0.05342,0.06432,0.08883,0.03115,0.11542,0.07904,0.10979,0.05883,0.12715,0.06123,0.11306
980,0.05929,0.08125,0.09763,0.15101,0.02991,0.07148,0.10299,0.06341,0.12445,0.10715,0.05938,0.05765,0.06843,0.07676,0.08958,0.06014,0.16287,0.03181,0.085,0.06222,0.0722,0.1017,0.0382,0.13271,0.08716,0.12595,0.06603,0.14693,0.06677,0.12628
987,0.0665,0.08968,0.12711,0.16514,0.03151,0.08979,0.11596,0.07192,0.13497,0.12043,0.06707,0.06648,0.07359,0.08206,0.09755,0.06706,0.19917,0.0408,0.09156,0.06986,0.07856,0.11313,0.04365,0.1461,0.09378,0.13931,0.07178,0.1628,0.07098,0.13804
995,0.07665,0.10083,0.15238,0.18324,0.03368,0.10321,0.1294,0.08312,0.14933,0.13586,0.07485,0.0754,0.0804,0.08893,0.10833,0.07548,0.22287,0.04995,0.10052,0.07603,0.08549,0.12509,0.0489,0.16133,0.10263,0.1564,0.07986,0.18583,0.07651,0.15273
1003,0.09171,0.11623,0.16366,0.20686,0.03719,0.10815,0.14677,0.09793,0.17171,0.15784,0.08629,0.08704,0.08953,0.09831,0.12407,0.08674,0.23444,0.05466,0.11258,0.0821,0.09416,0.13716,0.05622,0.18164,0.11369,0.17911,0.09075,0.21973,0.08445,0.17106
1011,0.1072,0.13033,0.17349,0.22796,0.04056,0.11323,0.16777,0.11508,0.1922,0.17925,0.10096,0.10233,0.09718,0.10675,0.13976,0.09802,0.24594,0.05845,0.1225,0.08877,0.10219,0.14715,0.06596,0.20367,0.12309,0.19996,0.10084,0.25175,0.09112,0.18658
1018,0.11802,0.13944,0.18291,0.24001,0.0422,0.11816,0.18725,0.12967,0.20272,0.19187,0.11581,0.11859,0.10148,0.11165,0.15147,0.10613,0.25384,0.06225,0.12738,0.09419,0.10658,0.15214,0.07652,0.22159,0.12786,0.21305,0.10694,0.27007,0.09537,0.19492
1026,0.12517,0.14511,0.18832,0.24542,0.04329,0.12237,0.2042,0.14123,0.20749,0.19778,0.12973,0.13502,0.10319,0.1148,0.16101,0.1118,0.25785,0.06527,0.1291,0.10007,0.10885,0.15094,0.08717,0.23486,0.13002,0.22145,0.10999,0.27881,0.09895,0.19927
1034,0.13271,0.14863,0.18879,0.24561,0.04013,0.12335,0.21509,0.15015,0.20156,0.20142,0.1405,0.14702,0.10197,0.11063,0.15518,0.11525,0.25512,0.06702,0.12698,0.08531,0.10516,0.14839,0.09304,0.24384,0.12758,0.22368,0.1143,0.29576,0.09114,0.19469
1041,0.13028,0.14481,0.18189,0.23556,0.04086,0.11861,0.21303,0.15121,0.20007,0.19494,0.145,0.15437,0.09782,0.10982,0.16117,0.11369,0.24001,0.0658,0.1227,0.09308,0.10336,0.13776,0.09986,0.23606,0.12354,0.21778,0.10832,0.2751,0.09421,0.18884
1049,0.12081,0.13142,0.16145,0.2095,0.03525,0.10539,0.1891,0.13784,0.18021,0.17802,0.13242,0.14094,0.0873,0.09582,0.1415,0.1041,0.21145,0.0593,0.10965,0.07535,0.09247,0.12576,0.09138,0.21053,0.11019,0.19558,0.09866,0.2494,0.08046,0.16697
