Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
0.08433141,0.00641624,0.02644155,0.08799281,0.02529327,0.01438446,0.006237182,0.02743443,0.01663012,0.01838918,0.0234092,0.006229375,0.002328878,0.007570473,0.04083822,0.001994302,0.07229428,0.00378825,0.01291692,0.003450683,0.01405356,0.003949141,0.04565492,0.003866116,0.007584822,0.00571984,0.000603425,0.03397319,0.03300304,0.04719966
0.09039294,0.01237317,0.03767834,0.1013366,0.03890238,0.01451572,0.01188688,0.04065421,0.0315892,0.02864941,0.03463477,0.007891482,0.006584208,0.01007054,0.05053375,0.004584237,0.09902232,0.008675704,0.02982534,0.008376377,0.0236266,0.006804505,0.05922005,0.01138082,0.01528557,0.007153581,0.00607642,0.05371652,0.05183769,0.06777746
0.09699738,0.02324102,0.05683355,0.1214588,0.06115292,0.02173736,0.0236616,0.05860364,0.04704843,0.046725,0.05101418,0.01692737,0.01609743,0.01971382,0.06379869,0.01314959,0.1019399,0.01983623,0.05019074,0.01723977,0.03858661,0.01516092,0.07656081,0.0233134,0.02796699,0.01430831,0.01535261,0.05945114,0.05704625,0.07351563
0.09532894,0.02623944,0.06414881,0.1307783,0.06795035,0.01837589,0.02604182,0.0660278,0.05089016,0.05249869,0.05738572,0.01584233,0.01569553,0.01768949,0.06827363,0.01225911,0.09225543,0.02132497,0.05608382,0.01888939,0.0429842,0.01296733,0.08269675,0.0242671,0.02977798,0.01336363,0.01777411,0.05229092,0.05099179,0.06754285
0.08731712,0.02058074,0.06423262,0.1345053,0.06868408,0.004753127,0.02038332,0.06730735,0.04718154,0.05185958,0.0584727,0.00271891,0.007752304,0.004056789,0.06646705,0.001294624,0.08413543,0.01344812,0.05431295,0.01424096,0.04222021,0.004179287,0.0844546,0.01792987,0.02566957,0.005751719,0.01220875,0.04519057,0.04681507,0.06639952
0.08791125,0.02124839,0.07480031,0.1480541,0.07612563,0,0.02135321,0.07837914,0.05120008,0.06102446,0.06898424,0,0.006265977,0,0.07156742,3.12E-08,0.09034938,0.01500472,0.05889406,0.0133902,0.04828897,0.000567217,0.08842235,0.01526463,0.02668342,0.002431846,0.008428929,0.05105405,0.05433857,0.07575224
0.08717916,0.02338678,0.08467238,0.1630012,0.08553607,0.00181839,0.02163871,0.09380244,0.05642366,0.07016733,0.08051055,0.003825169,0.006656066,0.00490469,0.07777146,0.004480161,0.09744298,0.02158184,0.06476378,0.01310985,0.05854334,0,0.09348204,0.0110559,0.02918303,0,0.002675492,0.05589249,0.05899914,0.0853781
0.09251841,0.03631256,0.1085342,0.192456,0.1105375,0.01027914,0.03013785,0.1216466,0.07346886,0.09133551,0.1057564,0.01492901,0.01517104,0.01499093,0.09412523,0.01585552,0.1023977,0.03622935,0.08142941,0.02094896,0.07911665,0.006526508,0.1070864,0.0166911,0.04285908,0.00347682,0.00572622,0.05826062,0.06009721,0.08822003
0.1081049,0.07059519,0.1546905,0.2443236,0.1577332,0.03183581,0.05856054,0.1742597,0.1117886,0.1403649,0.1560002,0.03950047,0.04393765,0.03971217,0.1292325,0.03895641,0.1193749,0.06472248,0.1176971,0.05052593,0.1248042,0.03068476,0.1417213,0.0419051,0.07854227,0.02535546,0.02512655,0.07070985,0.07018383,0.1054098
0.1379997,0.1223814,0.2181056,0.310425,0.2168072,0.06417998,0.1037475,0.2392887,0.1670137,0.2068595,0.2213087,0.07749403,0.09013776,0.07752763,0.1797759,0.07506004,0.1497536,0.1069931,0.1726862,0.09585654,0.1838103,0.06784324,0.1909491,0.08339874,0.1314071,0.06278061,0.06010188,0.09514602,0.0907736,0.1343848
0.176979,0.1783458,0.2834212,0.3767234,0.2719094,0.1057691,0.155526,0.3101914,0.219419,0.2767573,0.2893388,0.123125,0.1425283,0.1240064,0.2339267,0.1167145,0.1964899,0.1560699,0.2351127,0.1489848,0.248706,0.1127521,0.2475895,0.1282616,0.1898358,0.108671,0.09326079,0.131062,0.1258708,0.1782585
0.2329307,0.2422624,0.3562049,0.4467583,0.3267968,0.1522368,0.2152857,0.3817104,0.278253,0.3500407,0.3622809,0.1740478,0.2018085,0.1752786,0.2962355,0.1652474,0.2607078,0.209779,0.3046856,0.2065524,0.3165385,0.1651985,0.3091328,0.1799867,0.2533148,0.1582865,0.1306941,0.1877788,0.1801204,0.2403652
0.2890544,0.306057,0.4266005,0.5131804,0.3853698,0.2063149,0.278844,0.4539291,0.3411162,0.4230354,0.4340208,0.2304627,0.2647044,0.2341348,0.3589622,0.2198229,0.3359217,0.2698092,0.3806401,0.2709704,0.3851682,0.2292846,0.3735276,0.2392354,0.3199886,0.2150487,0.1733588,0.2546404,0.2421934,0.3104664
0.3508322,0.3694113,0.4929293,0.5723907,0.4344312,0.2651877,0.3429005,0.5180694,0.405858,0.4877547,0.5000152,0.2919844,0.328528,0.2986771,0.4212638,0.2806174,0.4341516,0.3313157,0.4636497,0.3316347,0.4484314,0.2870874,0.4355715,0.3037952,0.3839949,0.2697119,0.2201704,0.3442352,0.3250414,0.3946456
0.4039357,0.4138992,0.5443656,0.6156942,0.4686364,0.3151442,0.3961413,0.5713145,0.4598314,0.5400978,0.5535241,0.3403386,0.3813742,0.3496536,0.4754854,0.3325783,0.5652034,0.3819984,0.5432739,0.3805417,0.4997309,0.334825,0.4892039,0.3606811,0.4372693,0.3158338,0.2542307,0.4630221,0.4470832,0.5167894
0.457676,0.4758605,0.6114614,0.6743425,0.5144674,0.3666782,0.4631644,0.6402279,0.5218304,0.6112127,0.6250506,0.3890337,0.4486498,0.3998842,0.5459551,0.3881901,0.6836363,0.4379705,0.6314238,0.4469561,0.5690671,0.3982129,0.5539723,0.4253115,0.5059294,0.3728938,0.2993625,0.5767596,0.5807498,0.6512296
0.5039623,0.5624726,0.7003099,0.7512702,0.5818224,0.4316857,0.5582563,0.7355332,0.5982602,0.7101733,0.7168248,0.4580139,0.543869,0.4667542,0.6376127,0.4583751,0.7466393,0.5133163,0.7311983,0.5509729,0.6675351,0.4840307,0.6409475,0.5228273,0.6055242,0.4750872,0.3699248,0.6568114,0.6665119,0.7318389
0.5699934,0.6756449,0.8010547,0.8364074,0.6545294,0.5254351,0.6737131,0.8341079,0.6843685,0.8157738,0.8167434,0.5560099,0.6597728,0.5630785,0.7452461,0.5568051,0.8084959,0.6111022,0.833019,0.6731565,0.7739626,0.5961172,0.7403057,0.6446582,0.7169217,0.5989278,0.462785,0.7410679,0.7447262,0.8002533
