Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
0.1467373,0.1294697,0.1137,0.1173534,0.1515956,0.1182214,0.113338,0.1132227,0.1278399,0.1365985,0.1185144,0.1155992,0.1269036,0.1294483,0.1082936,0.09219136,0.06049406,0.1007665,0.1135905,0.1403953,0.1194322,0.1329562,0.1298655,0.1280713,0.1290935,0.1242037,0.1562606,0.06507505,0.0691063,0.08211335
0.1452813,0.128063,0.1119141,0.1157348,0.1489763,0.116561,0.1116673,0.1115254,0.1257712,0.1346148,0.116722,0.1140975,0.1254948,0.1278196,0.1068565,0.09078145,0.05946113,0.09930063,0.1119104,0.139058,0.1181018,0.1312584,0.128344,0.1262496,0.1277138,0.1227821,0.1540167,0.06426099,0.06817965,0.08118114
0.1438051,0.126679,0.1101412,0.1141215,0.1463291,0.1148919,0.1099963,0.1098236,0.123683,0.1326115,0.1149119,0.1125543,0.1240795,0.1261688,0.1054014,0.08935541,0.05839953,0.09783121,0.1102058,0.1377208,0.1167589,0.1295451,0.1268147,0.1243976,0.1263269,0.1213693,0.151739,0.06342517,0.06724522,0.08023857
0.1423107,0.1253154,0.1083833,0.1125135,0.1436645,0.1132169,0.1083292,0.1081207,0.1215801,0.1305924,0.113089,0.1109702,0.1226561,0.1244981,0.1039284,0.08791652,0.05731111,0.09635878,0.1084824,0.1363761,0.1153979,0.1278154,0.1252753,0.1225224,0.1249298,0.1199629,0.1494356,0.062567,0.06630304,0.0792749
0.1407974,0.1239671,0.1066387,0.1109058,0.1409868,0.1115374,0.1066677,0.1064189,0.1194646,0.1285588,0.111256,0.1093469,0.1212216,0.1228087,0.102436,0.08646743,0.05619721,0.09488278,0.106744,0.1350151,0.1140117,0.1260676,0.1237218,0.1206286,0.1235178,0.1185585,0.1471104,0.0616848,0.06535215,0.07827859
0.1392615,0.1226264,0.1049023,0.1092898,0.1382955,0.109854,0.1050112,0.1047198,0.1173365,0.1265109,0.1094132,0.1076869,0.1197723,0.1211014,0.1009219,0.08501003,0.0550589,0.09340131,0.1049924,0.133629,0.1125927,0.1242994,0.1221497,0.118718,0.1220857,0.1171502,0.1447637,0.06077598,0.06439088,0.07723943
0.1376976,0.1212842,0.1031673,0.1076556,0.1355878,0.1081668,0.1033579,0.1030245,0.115196,0.1244483,0.1075597,0.1059945,0.1183045,0.1193777,0.09938359,0.08354594,0.05389757,0.09191173,0.1032279,0.1322098,0.1111353,0.1225088,0.1205548,0.1167912,0.1206284,0.115732,0.1423951,0.05983755,0.06341752,0.07615049
0.1361007,0.1199319,0.1014266,0.1059945,0.1328604,0.1064762,0.1017059,0.1013356,0.1130446,0.1223716,0.1056956,0.1042753,0.116816,0.1176404,0.0978199,0.08207719,0.05271572,0.09041166,0.1014496,0.130751,0.1096367,0.1206954,0.1189352,0.1148495,0.1191431,0.1142988,0.1400056,0.058867,0.06243102,0.07500924
0.1344665,0.1185619,0.09967414,0.1043009,0.1301105,0.1047834,0.1000546,0.09965711,0.1108861,0.1202826,0.103822,0.102537,0.1153069,0.115894,0.09623172,0.08060651,0.05151726,0.08889989,0.09965665,0.1292489,0.1080976,0.1188607,0.1172916,0.1128954,0.1176294,0.1128472,0.137599,0.05786282,0.06143134,0.07381759
0.1327917,0.1171691,0.09790464,0.1025723,0.1273358,0.1030904,0.09840399,0.09799386,0.1087255,0.1181837,0.1019419,0.100788,0.1137793,0.1141443,0.09462202,0.07913717,0.05030714,0.0873767,0.09784787,0.1277021,0.106521,0.1170087,0.115627,0.110933,0.1160892,0.1113762,0.1351811,0.0568247,0.06041923,0.0725808
