"wavenumber","intensity","File"
1689.337,0.4318613,"./Lazar_omnic_1.CSV_breakoff.csv"
1697.051,0.3455298,"./Lazar_omnic_1.CSV_breakoff.csv"
1704.765,0.2708977,"./Lazar_omnic_1.CSV_breakoff.csv"
1712.479,0.2475917,"./Lazar_omnic_1.CSV_breakoff.csv"
1720.192,0.2532449,"./Lazar_omnic_1.CSV_breakoff.csv"
1727.906,0.2419172,"./Lazar_omnic_1.CSV_breakoff.csv"
1735.62,0.2425202,"./Lazar_omnic_1.CSV_breakoff.csv"
1743.334,0.2089152,"./Lazar_omnic_1.CSV_breakoff.csv"
1751.048,0.1823356,"./Lazar_omnic_1.CSV_breakoff.csv"
1758.762,0.1577261,"./Lazar_omnic_1.CSV_breakoff.csv"
1766.476,0.1331905,"./Lazar_omnic_1.CSV_breakoff.csv"
1774.189,0.1091441,"./Lazar_omnic_1.CSV_breakoff.csv"
1781.903,0.08748434,"./Lazar_omnic_1.CSV_breakoff.csv"
1789.617,0.07252064,"./Lazar_omnic_1.CSV_breakoff.csv"
1797.331,0.06262067,"./Lazar_omnic_1.CSV_breakoff.csv"
802.2422,0.1008322,"./Lazar_omnic_10.CSV_breakoff.csv"
809.9561,0.09720366,"./Lazar_omnic_10.CSV_breakoff.csv"
817.6699,0.08158112,"./Lazar_omnic_10.CSV_breakoff.csv"
825.3838,0.06287007,"./Lazar_omnic_10.CSV_breakoff.csv"
833.0977,0.04279943,"./Lazar_omnic_10.CSV_breakoff.csv"
840.8115,0.02573599,"./Lazar_omnic_10.CSV_breakoff.csv"
848.5254,0.008351144,"./Lazar_omnic_10.CSV_breakoff.csv"
856.2393,0,"./Lazar_omnic_10.CSV_breakoff.csv"
863.9531,0.001730755,"./Lazar_omnic_10.CSV_breakoff.csv"
871.667,0.01174803,"./Lazar_omnic_10.CSV_breakoff.csv"
879.3809,0.01838918,"./Lazar_omnic_10.CSV_breakoff.csv"
887.0947,0.02864941,"./Lazar_omnic_10.CSV_breakoff.csv"
894.8086,0.046725,"./Lazar_omnic_10.CSV_breakoff.csv"
902.5225,0.05249869,"./Lazar_omnic_10.CSV_breakoff.csv"
910.2363,0.05185958,"./Lazar_omnic_10.CSV_breakoff.csv"
917.9502,0.06102446,"./Lazar_omnic_10.CSV_breakoff.csv"
925.6641,0.07016733,"./Lazar_omnic_10.CSV_breakoff.csv"
933.3779,0.09133551,"./Lazar_omnic_10.CSV_breakoff.csv"
941.0918,0.1403649,"./Lazar_omnic_10.CSV_breakoff.csv"
948.8057,0.2068595,"./Lazar_omnic_10.CSV_breakoff.csv"
956.5195,0.2767573,"./Lazar_omnic_10.CSV_breakoff.csv"
964.2334,0.3500407,"./Lazar_omnic_10.CSV_breakoff.csv"
971.9473,0.4230354,"./Lazar_omnic_10.CSV_breakoff.csv"
979.6611,0.4877547,"./Lazar_omnic_10.CSV_breakoff.csv"
987.375,0.5400978,"./Lazar_omnic_10.CSV_breakoff.csv"
995.0889,0.6112127,"./Lazar_omnic_10.CSV_breakoff.csv"
1002.803,0.7101733,"./Lazar_omnic_10.CSV_breakoff.csv"
1010.517,0.8157738,"./Lazar_omnic_10.CSV_breakoff.csv"
1018.23,0.891592,"./Lazar_omnic_10.CSV_breakoff.csv"
